Mode,Preset,Cosine_Similarity,Euclidean_Distance,Recognition_Prevented,Face_Count
blur,fast,0.8386,0.5445,False,50
pixelate,fast,0.9814,0.1845,False,50
obliterate,fast,0.6201,0.8515,False,50
scramble,fast,1.0000,0.0000,False,50
palette,fast,1.0000,0.0000,False,50
silhouette,fast,0.2432,1.2023,True,50
blur,balanced,0.8266,0.5717,False,50
pixelate,balanced,0.9861,0.1618,False,50
obliterate,balanced,0.6141,0.8673,False,50
scramble,balanced,1.0000,0.0000,False,50
palette,balanced,1.0000,0.0000,False,50
silhouette,balanced,0.2291,1.2267,True,50
blur,strong,0.8261,0.5729,False,50
pixelate,strong,0.9850,0.1667,False,50
obliterate,strong,0.5776,0.9077,True,50
scramble,strong,1.0000,0.0000,False,50
palette,strong,1.0000,0.0000,False,50
silhouette,strong,0.2291,1.2267,True,50
blur,strict,0.7824,0.6427,False,50
pixelate,strict,0.9844,0.1698,False,50
obliterate,strict,0.5999,0.8827,True,50
scramble,strict,1.0000,0.0000,False,50
palette,strict,1.0000,0.0000,False,50
silhouette,strict,0.2544,1.2056,True,50
